Name	ScopeViewControl	
File	F:\_LTR700\TempMeas\Scope YT Project.svd	
StartRecord	131572023434270000	08 December 2017	12:25:43
EndRecord	131572026024670000	08 December 2017	12:30:02


Name	T_Ref	Name	T_Cels	
NetId	172.18.136.182.1.1	NetId	172.18.136.182.1.1	
Port	851	Port	851	
SampleTime[ms]	10	SampleTime[ms]	10	
SymbolBased	True	SymbolBased	True	
SymbolName	Temperatures.T_Ref	SymbolName	Temperatures.T_Act	
SymbolComment		SymbolComment		
IndexGroup	16448	IndexGroup	16448	
IndexOffset	513864	IndexOffset	513868	
Data-Type	REAL32	Data-Type	REAL32	
VariableSize	4	VariableSize	4	
Offset	0	Offset	0	
ScaleFactor	1	ScaleFactor	1	
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	

4240	50	4240	33.2523155	
4250	50	4250	33.2523155	
4260	50	4260	33.2523155	
4270	50	4270	33.2523155	
4280	50	4280	33.2523155	
4290	50	4290	33.2523155	
4300	50	4300	33.2523155	
4310	50	4310	33.2523155	
4320	50	4320	33.28125	
4330	50	4330	33.2523155	
4340	50	4340	33.28125	
4350	50	4350	33.28125	
4360	50	4360	33.28125	
4370	50	4370	33.28125	
4380	50	4380	33.28125	
4390	50	4390	33.28125	
4400	50	4400	33.28125	
4410	50	4410	33.28125	
4420	50	4420	33.28125	
4430	50	4430	33.3101845	
4440	50	4440	33.3101845	
4450	50	4450	33.3101845	
4460	50	4460	33.3101845	
4470	50	4470	33.3101845	
4480	50	4480	33.33912	
4490	50	4490	33.33912	
4500	50	4500	33.3101845	
4510	50	4510	33.3101845	
4520	50	4520	33.3101845	
4530	50	4530	33.33912	
4540	50	4540	33.33912	
4550	50	4550	33.33912	
4560	50	4560	33.33912	
4570	50	4570	33.33912	
4580	50	4580	33.33912	
4590	50	4590	33.33912	
4600	50	4600	33.3680573	
4610	50	4610	33.3680573	
4620	50	4620	33.3680573	
4630	50	4630	33.3680573	
4640	50	4640	33.3680573	
4650	50	4650	33.3680573	
4660	50	4660	33.3969879	
4670	50	4670	33.3680573	
4680	50	4680	33.3969879	
4690	50	4690	33.3969879	
4700	50	4700	33.3969879	
4710	50	4710	33.3969879	
4720	50	4720	33.3969879	
4730	50	4730	33.3969879	
4740	50	4740	33.3969879	
4750	50	4750	33.3969879	
4760	50	4760	33.4259262	
4770	50	4770	33.3969879	
4780	50	4780	33.4259262	
4790	50	4790	33.4259262	
4800	50	4800	33.45486	
4810	50	4810	33.4259262	
4820	50	4820	33.4259262	
4830	50	4830	33.45486	
4840	50	4840	33.4259262	
4850	50	4850	33.45486	
4860	50	4860	33.4259262	
4870	50	4870	33.45486	
4880	50	4880	33.45486	
4890	50	4890	33.45486	
4900	50	4900	33.4837952	
4910	50	4910	33.45486	
4920	50	4920	33.4837952	
4930	50	4930	33.45486	
4940	50	4940	33.4837952	
4950	50	4950	33.4837952	
4960	50	4960	33.4837952	
4970	50	4970	33.4837952	
4980	50	4980	33.4837952	
4990	50	4990	33.4837952	
5000	50	5000	33.4837952	
5010	50	5010	33.4837952	
5020	50	5020	33.5127335	
5030	50	5030	33.5127335	
5040	50	5040	33.5127335	
5050	50	5050	33.5127335	
5060	50	5060	33.5127335	
5070	50	5070	33.5127335	
5080	50	5080	33.5127335	
5090	50	5090	33.5127335	
5100	50	5100	33.5127335	
5110	50	5110	33.5416679	
5120	50	5120	33.5127335	
5130	50	5130	33.5127335	
5140	50	5140	33.5416679	
5150	50	5150	33.5416679	
5160	50	5160	33.5416679	
5170	50	5170	33.5416679	
5180	50	5180	33.5416679	
5190	50	5190	33.5706024	
5200	50	5200	33.5416679	
5210	50	5210	33.5416679	
5220	50	5220	33.5706024	
5230	50	5230	33.5706024	
5240	50	5240	33.5706024	
5250	50	5250	33.5706024	
5260	50	5260	33.5706024	
5270	50	5270	33.5706024	
5280	50	5280	33.5706024	
5290	50	5290	33.5706024	
5300	50	5300	33.5706024	
5310	50	5310	33.5706024	
5320	50	5320	33.5706024	
5330	50	5330	33.5706024	
5340	50	5340	33.5995369	
5350	50	5350	33.5995369	
5360	50	5360	33.5995369	
5370	50	5370	33.5995369	
5380	50	5380	33.5995369	
5390	50	5390	33.5995369	
5400	50	5400	33.62847	
5410	50	5410	33.5995369	
5420	50	5420	33.62847	
5430	50	5430	33.62847	
5440	50	5440	33.5995369	
5450	50	5450	33.5995369	
5460	50	5460	33.62847	
5470	50	5470	33.62847	
5480	50	5480	33.62847	
5490	50	5490	33.62847	
5500	50	5500	33.62847	
5510	50	5510	33.65741	
5520	50	5520	33.65741	
5530	50	5530	33.65741	
5540	50	5540	33.65741	
5550	50	5550	33.65741	
5560	50	5560	33.65741	
5570	50	5570	33.65741	
5580	50	5580	33.65741	
5590	50	5590	33.65741	
5600	50	5600	33.65741	
5610	50	5610	33.68634	
5620	50	5620	33.68634	
5630	50	5630	33.68634	
5640	50	5640	33.68634	
5650	50	5650	33.68634	
5660	50	5660	33.68634	
5670	50	5670	33.68634	
5680	50	5680	33.68634	
5690	50	5690	33.68634	
5700	50	5700	33.68634	
5710	50	5710	33.71528	
5720	50	5720	33.71528	
5730	50	5730	33.71528	
5740	50	5740	33.71528	
5750	50	5750	33.71528	
